case_id,train,val,test
topaneu_center1_mr_001,1,0,0
topaneu_center1_mr_005,1,0,0
topaneu_center1_mr_016,1,0,0
topaneu_center1_mr_017,1,0,0
topaneu_center1_mr_018,1,0,0
topaneu_center1_mr_024,1,0,0
topaneu_center1_mr_028,1,0,0
topaneu_center1_mr_029,1,0,0
topaneu_center1_mr_033,1,0,0
topaneu_center1_mr_038,1,0,0
topaneu_center1_mr_049,1,0,0
topaneu_center1_mr_050,1,0,0
topaneu_center1_mr_053,1,0,0
topaneu_center1_mr_056,1,0,0
topaneu_center1_mr_061,0,0,1
topaneu_center1_mr_064,0,1,0
topaneu_center1_mr_076,1,0,0
topaneu_center1_mr_085,1,0,0
topaneu_center1_mr_088,1,0,0
topaneu_center1_mr_092,1,0,0
topaneu_center1_mr_113,1,0,0
topaneu_center1_mr_119,1,0,0
topaneu_center1_mr_121,1,0,0
topaneu_center1_mr_129,1,0,0
topaneu_center1_mr_136,0,1,0
topaneu_center1_mr_138,1,0,0
topaneu_center1_mr_144,1,0,0
topaneu_center1_mr_147,0,1,0
topaneu_center1_mr_148,1,0,0
topaneu_center1_mr_149,1,0,0
topaneu_center1_mr_157,1,0,0
topaneu_center1_mr_173,1,0,0
topaneu_center1_mr_177,1,0,0
topaneu_center1_mr_178,1,0,0
topaneu_center1_mr_184,0,1,0
topaneu_center1_mr_188,1,0,0
topaneu_center1_mr_189,1,0,0
topaneu_center1_mr_191,1,0,0
topaneu_center1_mr_193,1,0,0
topaneu_center1_mr_195,1,0,0
topaneu_center1_mr_198,0,1,0
topaneu_center1_mr_200,1,0,0
topaneu_center1_mr_202,1,0,0
topaneu_center1_mr_210,1,0,0
topaneu_center1_mr_211,1,0,0
topaneu_center1_mr_213,1,0,0
topaneu_center1_mr_221,1,0,0
topaneu_center1_mr_229,1,0,0
topaneu_center1_mr_241,1,0,0
topaneu_center1_mr_247,1,0,0
topaneu_center1_mr_251,1,0,0
topaneu_center1_mr_262,1,0,0
topaneu_center1_mr_264,1,0,0
topaneu_center1_mr_282,1,0,0
topaneu_center1_mr_287,1,0,0
topaneu_center1_mr_290,1,0,0
topaneu_center1_mr_298,1,0,0
topaneu_center1_mr_299,1,0,0
topaneu_center1_mr_301,1,0,0
topaneu_center1_mr_302,0,1,0
topaneu_center1_mr_308,1,0,0
topaneu_center1_mr_311,1,0,0
topaneu_center1_mr_316,1,0,0
topaneu_center1_mr_325,1,0,0
topaneu_center1_mr_327,1,0,0
topaneu_center1_mr_330,0,1,0
topaneu_center1_mr_334,0,1,0
topaneu_center1_mr_336,1,0,0
topaneu_center1_mr_342,1,0,0
topaneu_center1_mr_349,1,0,0
topaneu_center1_mr_350,1,0,0
topaneu_center1_mr_354,1,0,0
topaneu_center1_mr_359,0,0,1
topaneu_center1_mr_364,1,0,0
topaneu_center1_mr_365,0,0,1
topaneu_center1_mr_374,1,0,0
topaneu_center1_mr_386,1,0,0
topaneu_center1_mr_393,1,0,0
topaneu_center1_mr_396,1,0,0
topaneu_center1_mr_398,1,0,0
topaneu_center1_mr_401,1,0,0
topaneu_center1_mr_411,1,0,0
topaneu_center1_mr_414,1,0,0
topaneu_center1_mr_419,1,0,0
topaneu_center1_mr_428,1,0,0
topaneu_center1_mr_436,1,0,0
topaneu_center1_mr_439,1,0,0
topaneu_center1_mr_443,1,0,0
topaneu_center1_mr_463,1,0,0
topaneu_center1_mr_474,1,0,0
topaneu_center1_mr_477,1,0,0
topaneu_center1_mr_483,1,0,0
topaneu_center1_mr_489,1,0,0
topaneu_center1_mr_490,1,0,0
topaneu_center1_mr_494,0,0,1
topaneu_center1_mr_496,1,0,0
topaneu_center1_mr_499,1,0,0
topaneu_center1_mr_501,0,1,0
topaneu_center1_mr_509,0,0,1
topaneu_center1_mr_516,1,0,0
topaneu_center1_mr_522,0,0,1
topaneu_center1_mr_523,1,0,0
topaneu_center1_mr_525,1,0,0
topaneu_center1_mr_527,1,0,0
topaneu_center1_mr_528,1,0,0
topaneu_center1_mr_538,1,0,0
topaneu_center1_mr_554,1,0,0
topaneu_center1_mr_560,0,0,1
topaneu_center1_mr_561,1,0,0
topaneu_center1_mr_572,1,0,0
topaneu_center1_mr_577,1,0,0
topaneu_center1_mr_581,0,0,1
topaneu_center1_mr_585,1,0,0
topaneu_center1_mr_586,0,1,0
topaneu_center1_mr_596,1,0,0
topaneu_center1_mr_605,1,0,0
topaneu_center1_mr_607,0,1,0
topaneu_center1_mr_612,1,0,0
topaneu_center1_mr_614,1,0,0
topaneu_center1_mr_615,1,0,0
topaneu_center1_mr_625,0,0,1
topaneu_center1_mr_626,1,0,0
topaneu_center1_mr_630,1,0,0
topaneu_center1_mr_631,0,1,0
topaneu_center1_mr_637,1,0,0
topaneu_center1_mr_638,1,0,0
topaneu_center1_mr_647,1,0,0
topaneu_center1_mr_653,1,0,0
topaneu_center1_mr_660,1,0,0
topaneu_center1_mr_664,1,0,0
topaneu_center1_mr_670,1,0,0
topaneu_center1_mr_681,0,1,0
topaneu_center1_mr_682,1,0,0
topaneu_center1_mr_693,1,0,0
topaneu_center1_mr_694,0,1,0
topaneu_center1_mr_697,1,0,0
topaneu_center1_mr_702,1,0,0
topaneu_center1_mr_713,0,0,1
topaneu_center1_mr_720,1,0,0
topaneu_center1_mr_727,0,0,1
topaneu_center1_mr_729,0,1,0
topaneu_center1_mr_731,1,0,0
topaneu_center1_mr_732,0,0,1
topaneu_center1_mr_740,0,0,1
topaneu_center1_mr_741,1,0,0
topaneu_center1_mr_742,0,0,1
topaneu_center1_mr_744,0,1,0
topaneu_center1_mr_750,1,0,0
topaneu_center1_mr_760,1,0,0
topaneu_center1_mr_763,1,0,0
topaneu_center1_mr_765,1,0,0
topaneu_center1_mr_770,1,0,0
topaneu_center1_mr_772,1,0,0
topaneu_center1_mr_774,1,0,0
topaneu_center1_mr_775,1,0,0
topaneu_center1_mr_776,1,0,0
topaneu_center1_mr_788,1,0,0
topaneu_center1_mr_789,1,0,0
topaneu_center1_mr_790,1,0,0
topaneu_center1_mr_792,1,0,0
topaneu_center1_mr_795,1,0,0
topaneu_center1_mr_797,1,0,0
topaneu_center1_mr_800,1,0,0
topaneu_center1_mr_804,1,0,0
topaneu_center1_mr_807,1,0,0
topaneu_center1_mr_810,1,0,0
topaneu_center1_mr_816,1,0,0
topaneu_center1_mr_819,0,1,0
topaneu_center1_mr_823,1,0,0
topaneu_center1_mr_840,1,0,0
topaneu_center1_mr_842,1,0,0
topaneu_center1_mr_848,1,0,0
topaneu_center1_mr_850,1,0,0
topaneu_center1_mr_871,1,0,0
topaneu_center1_mr_877,1,0,0
topaneu_center1_mr_891,1,0,0
topaneu_center1_mr_892,0,1,0
topaneu_center1_mr_895,1,0,0
topaneu_center1_mr_896,1,0,0
topaneu_center1_mr_902,1,0,0
topaneu_center1_mr_909,0,1,0
topaneu_center1_mr_910,1,0,0
topaneu_center1_mr_911,1,0,0
topaneu_center1_mr_917,1,0,0
topaneu_center1_mr_920,1,0,0
topaneu_center1_mr_921,1,0,0
topaneu_center1_mr_922,1,0,0
topaneu_center1_mr_924,1,0,0
topaneu_center1_mr_926,1,0,0
topaneu_center1_mr_928,1,0,0
topaneu_center1_mr_939,0,0,1
topaneu_center1_mr_940,1,0,0
topaneu_center1_mr_942,1,0,0
topaneu_center1_mr_944,0,0,1
topaneu_center1_mr_959,1,0,0
topaneu_center1_mr_961,0,0,1
topaneu_center1_mr_975,0,0,1
topaneu_center1_mr_981,0,0,1
topaneu_center1_mr_991,1,0,0
topaneu_center2_ct_105,1,0,0
topaneu_center2_ct_107,1,0,0
topaneu_center2_ct_108,1,0,0
topaneu_center2_ct_109,1,0,0
topaneu_center2_ct_112,0,0,1
